#########################################################################
# THIS IS A TABLE OF ALL SOUNDS ON OUR CD
#
# WAV nickname filename
#
# CD  nickname  starttrack startsec startframe endtrack endsec endframe
#     startsec is relativ to the track
#
#########################################################################
# 0     /* GONG */
CD MSG_gong  1 0 0 1 1 0 
# 1     /* Xylophon */
CD MSG_xylophon  1 3 0 1 4 0 
# 2     /* Windows-Tata */
CD MSG_tata  1 7 0 1 8 0 
# 3     /* Akkord */
CD MSG_akkord  110 0 2 0 0 
# 4     /* Cromwell-Fanfare */
CD MSG_fanfare  2 0 0 2 3 0 
# 5     /* Don't loose my number */
CD MSG_dont_loose  2 2 0 2 7 0 
# 6     /* Wau */
CD MSG_wau  2 8 0 2 9 0 
# 7     /* WauWau */
CD MSG_wauwau  2 7 0 2 9 0 
# 8     /* Groove */
CD MSG_groove  2 9 0 2 18 0 
# 9     /* We don't need no education */
CD MSG_no_education  2 18 0 2 25 0 
# 10    /* I quit! */
CD MSG_i_quit  2 25 0 2 27 0 
# 11    /* Lok */
CD MSG_lok  2 30 0 2 32 0 
# 12    /* Ruelps */
CD MSG_ruelps  2 33 0 2 34 0 
# 13    /* Lachen */
CD MSG_lachen  2 34 0 2 39 0 
# 14    /* Lachen 2 */
CD MSG_lachen2  2 40 0 2 44 0 
# 15    /* Pfeife */
CD MSG_pfeife  2 45 0 2 46 0 
# 16    /* Star-Wars */
CD MSG_star_wars  2 50 0 2 52 0 
# 17    /* Hallo, mein Name ist Rhino. Ich bin Ihr persoenlicher Diener */
CD MSG_pers_diener  3 0 0 3 9 0 
# 18    /* Ich werde Ihnen jetzt folgen */
CD MSG_folgen  3 6 0 3 9 0 
# 19    /* Ich werde jetzt Ihr Buero aufraeumen */
CD MSG_buero_aufraeumen  3 11 0 3 13 0 
# 20    /* Ich werde jetzt das Studio aufraeumen */
CD MSG_studio_aufraeumen  3 14 0 3 18 0 
# 21    /* Vielen Dank, Sie haben einen einfachen Roboter sehr gluecklich gemacht */
CD MSG_roboter_gluecklich  3 18 0 3 27 0 
# 22    /* Guten Abend meine sehr verehrten Damen und Herren */
CD MSG_guten_abend  3 27 0 3 35 0 
# 23    /* Objekt der Kategorie Abfall detektiert */
CD MSG_objekt_abfall  3 35 0 3 41 0 
# 24    /* Berechne Entfernung fuer genaue Annaeherung */
CD MSG_berechne_entfernung  3 41 0 3 47 0 
# 25    /* Objekt wird eingesammelt */
CD MSG_objekt_eingesammelt  3 47 0 3 52 0 
# 26    /* Objekt der Kategorie Muelleimer detektiert */
CD MSG_objekt_muelleimer  3 52 0 3 58 0 
# 27    /* Objekt wird entsorgt */
CD MSG_objekt_entsorgt  3 58 0 3 62 0 
# 28    /* Suche Objekte der Kategorie Abfall */
CD MSG_suche_abfall  3 62 0 3 68 0 
# 29    /* Suche Objekt der Kategorie Muelleimer */
CD MSG_suche_muelleimer  3 68 0 3 73 0 
# 30    /* Person im Blickfeld detektiert. Starte Verfolgungsmodus */
CD MSG_person_detektiert  3 73 0 3 80 0 
# 31    /* Person aus Blickfeld verloren */
CD MSG_person_verloren  3 80 0 3 84 0 
# 32    /* Person laeuft nach rechts aus dem Blickfeld. Korrigiere Richtung */
CD MSG_person_rechts  3 84 0 3 91 0 
# 33    /* Person laeuft nach links aus dem Blickfeld. Korrigiere Richtung */
CD MSG_person_links  3 91 0 3 97 0 
# 34    /* Neuer Zielpunkt empfangen */
CD MSG_neuer_zielpunkt  3 97 0 3 10 10 
# 35    /* Ich habe meine Aufgabe erfuellt */
CD MSG_aufgabe_erfuellt  3 10 10 3 10 60 
# 36    /* Wandorientierung der aktuellen Umgebung erkannt */
CD MSG_wandorientierung_erkannt  3 10 60 3 11 00 
# 37    /* Wechsle in Explorationsmodus */
CD MSG_explorationsmodus  3 11 00 4 0 0 
# 38    /* Ich habe ein Objekt gefunden */
CD MSG_objekt_gefunden  4 1 0 4 3 0 
# 39    /* Ich fahre zum Objekt */
CD MSG_fahre_zu_objekt  4 5 0 4 7 0 
# 40    /* Ich hebe das Objekt auf */
CD MSG_hebe_objekt_auf  4 8 0 4 11 0 
# 41    /* Ich habe einen Abfalleimer gefunden */
CD MSG_abfalleimer_gefunden  4 12 0 4 15 0 
# 42    /* Ich fahre zum Abfalleimer */
CD MSG_fahre_zu_abfalleimer  4 16 0 4 19 0 
# 43    /* Ich lasse das Objekt in den Abfalleimer fallen */
CD MSG_lasse_objekt_fallen  4 20 0 4 24 0 
# 44    /* Huch? */
CD MSG_huch  4 26 0 4 27 0 
# 45    /* Ich stecke fest */
CD MSG_stecke_fest  4 27 0 4 31 0 
# 46    /* Hui, jetzt wirds schnell */
CD MSG_hui_schnell  4 31 0 4 35 0 
# 47    /* Vorsicht, der Arm ist draussen */
CD MSG_arm_draussen  4 40 0 4 44 0 
# 48    /* Ich fahre ab sofort rueckwaerts */
CD MSG_fahre_rueckwaerts  4 44 0 5 0 0 
# 49    /* Darf ich mich vorstellen, ich heisse Rhino, ... */
CD MSG_tv_rhino_diener  5 0 0 5 6 0 
# 50    /* Wie sieht es denn hier aus */
CD MSG_tv_unordnung  5 6 0 5 11 0 
# 51    /* Sie spielen Tennis - und ich lach mich hier tot... */
CD MSG_tv_lachen  5 11 0 5 18 0 
# 52    /* Sie spielen Tennis und ich bin Ihr neuer Balljunge */
CD MSG_tv_balljunge  5 18 0 6 0 0 
# 53    /* Hi, ich bin Rhino */
CD MSG_hi_rhino  6 0 0 6 3 0 
# 54    /* Mein Name ist Rhino - Rhino-Vitorio, ich weiche nicht von Deiner Seite */
CD MSG_rhino_007  6 3 0 6 11 0 
# 55    /* Kannst Du nicht mal Ordnung halten */
CD MSG_ordnung_halten  6 11 0 6 15 0 
# 56    /* Hey, hier stimmt was nicht */
CD MSG_stimmt_nicht  6 15 0 6 20 0 
# 57    /* Bringt mir sofort meinen Muelleimer zurueck */
CD MSG_muelleimer_zurueck  6 20 0 6 25 0 
# 58    /* Computer, gehe in Verfolgungsmodus */
CD MSG_computer_verfolgungsmodus  6 25 0 6 31 0 
# 59    /* Computer, Gebiet scannen */
CD MSG_computer_scannen  6 31 0 6 36 0 
